#OTUID,FW1,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,RE1,RE10,RE11,RE12,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RE9,SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9
ASV_1483,1,7,1,9,3,16,9,0,2,11,8,5,7,3,4,19,24,9,10,1,0,3,3,0,2,12,6,6,4,7,5,1,1,7,3,0,0,0,0,5,2,4,5,4,5,1,0,0
ASV_1059,2,1,0,1,4,0,4,1,1,0,4,2,0,1,8,7,0,1,4,1,0,1,13,9,0,0,0,7,5,2,2,1,2,8,28,37,7,4,7,27,3,3,3,1,5,8,3,6
ASV_1382,6,14,12,13,0,7,2,2,0,3,13,6,21,6,8,10,8,8,0,3,5,2,0,2,0,2,4,8,16,10,3,4,0,2,2,4,3,0,1,0,1,4,9,0,1,4,1,4
ASV_1267,6,7,10,11,3,6,5,2,0,10,24,23,20,14,4,5,12,5,1,1,1,3,0,1,0,5,10,10,4,11,0,2,0,1,0,3,0,4,0,0,0,1,0,2,0,2,2,2
ASV_981,16,6,2,12,6,11,4,1,1,24,19,14,12,22,1,2,2,4,4,3,0,0,5,0,0,1,7,1,1,6,4,2,1,2,2,7,4,4,0,1,1,0,3,5,4,3,1,2
ASV_1259,7,12,4,10,1,18,7,1,2,12,9,25,5,10,4,3,13,14,3,2,3,1,6,1,1,5,8,13,5,5,2,1,1,1,4,3,1,1,1,1,3,0,0,0,2,0,2,0
ASV_1184,0,13,19,23,0,13,15,0,0,13,0,1,0,0,3,20,19,39,1,0,0,5,6,1,0,1,0,7,5,5,0,1,0,1,0,0,0,1,0,8,2,2,7,0,1,0,1,0
ASV_984,21,7,5,10,7,9,4,1,0,13,17,6,6,18,8,6,5,5,7,1,0,0,0,1,1,5,6,7,1,4,2,3,1,0,4,2,9,6,1,1,1,0,1,8,3,3,4,3
ASV_1461,10,8,8,18,1,6,13,4,1,13,16,15,7,8,3,12,12,6,1,0,1,4,4,0,0,6,6,4,3,3,4,7,4,0,1,3,1,0,1,3,2,0,2,2,1,2,3,3
ASV_1167,0,0,5,2,2,2,3,3,4,8,1,0,0,1,6,3,3,0,4,4,2,10,6,10,6,2,1,5,4,2,1,4,8,24,3,0,6,23,9,13,1,5,9,10,7,3,2,4
ASV_987,9,2,8,11,3,3,5,2,0,8,14,22,19,21,5,6,6,8,3,1,0,1,2,0,2,2,10,1,2,4,3,3,0,1,7,3,9,1,2,0,0,1,3,6,5,1,4,2
ASV_1277,0,2,8,18,7,16,16,0,2,6,7,4,6,3,3,26,12,27,1,2,3,4,3,2,0,7,0,1,8,6,3,0,2,2,0,0,0,0,1,1,7,1,3,8,2,0,0,0
ASV_1143,3,5,3,16,1,20,18,0,0,14,3,4,4,4,1,33,18,41,0,0,0,5,2,0,0,0,3,9,4,5,0,0,0,0,0,1,0,1,0,3,3,0,1,3,2,0,0,0
ASV_1036,12,5,10,17,12,5,9,8,0,3,9,6,10,13,6,2,13,5,1,3,1,6,7,3,1,8,11,1,2,7,1,1,2,0,2,1,3,3,2,1,4,0,1,1,5,1,3,3
ASV_1154,2,12,27,7,4,9,8,0,4,5,6,8,4,4,5,11,4,26,3,3,0,6,0,5,4,0,1,9,13,8,1,5,2,3,0,2,0,1,2,0,2,4,5,1,1,2,0,1
ASV_1647,13,6,3,7,2,5,3,5,1,9,7,7,13,15,20,5,9,12,0,2,3,2,2,2,4,4,21,4,2,5,0,2,4,1,2,2,2,1,2,3,2,1,3,3,3,2,1,3
ASV_961,15,9,2,6,2,5,2,1,1,12,14,14,9,17,9,8,11,4,2,2,0,1,3,1,2,0,12,2,5,4,5,5,2,1,3,5,8,3,1,1,3,2,1,4,3,2,1,4
ASV_1735,0,2,6,2,1,2,2,0,2,2,5,6,5,2,0,5,0,3,3,3,7,3,1,3,1,2,1,31,33,31,1,7,2,1,3,11,6,2,4,3,0,2,2,3,4,6,4,4
ASV_1223,13,6,6,7,2,11,1,1,1,5,3,3,4,3,4,3,6,2,8,1,1,2,7,9,2,1,8,0,3,0,4,2,1,5,3,3,3,6,3,2,2,7,20,19,18,4,3,1
ASV_1032,18,5,2,7,2,10,4,6,0,10,20,19,12,20,2,8,11,6,2,3,0,0,2,0,2,7,3,2,4,7,0,4,3,1,1,7,1,2,0,1,2,1,3,1,3,2,3,0
ASV_1076,0,0,0,0,1,6,2,0,5,0,2,2,7,2,0,4,0,1,7,7,8,19,3,7,4,3,1,4,1,7,1,10,5,15,7,0,6,14,3,7,5,2,8,2,2,2,1,35
ASV_1149,2,5,3,7,1,7,9,0,4,4,7,1,1,2,1,4,9,0,21,0,1,2,6,9,6,1,6,1,2,0,4,1,1,9,3,3,6,6,4,5,6,9,11,12,22,2,1,1
ASV_1214,29,11,7,6,4,7,5,1,0,7,18,13,13,20,8,2,7,1,1,3,0,1,2,2,0,2,14,3,4,3,1,1,1,3,1,3,8,1,0,0,0,0,1,2,1,1,7,3
ASV_963,1,6,4,6,4,4,7,1,0,7,5,0,4,6,4,2,4,2,4,1,4,0,10,19,9,8,4,1,1,3,2,4,1,8,7,5,11,10,1,4,1,9,6,2,14,7,1,3
ASV_970,0,7,23,8,6,3,5,2,14,3,3,5,18,9,5,6,8,4,2,3,5,1,1,2,10,8,11,1,5,10,1,3,1,1,2,3,2,1,1,4,2,1,8,4,0,0,1,4
ASV_1815,0,10,10,17,1,15,10,0,0,7,4,3,9,2,6,28,19,23,2,0,2,2,1,2,1,3,4,13,9,3,1,4,1,0,0,2,0,0,1,0,4,0,1,2,3,2,0,0
ASV_994,24,2,3,7,5,6,5,4,0,16,12,22,12,10,2,12,8,2,0,5,0,0,1,0,3,3,11,1,3,3,2,2,0,0,4,3,4,9,3,1,2,2,1,0,3,3,2,3
ASV_1077,2,3,2,0,2,1,1,8,2,2,2,1,5,3,2,2,0,1,4,14,10,10,0,2,4,4,1,32,29,30,0,0,5,3,1,7,1,2,0,3,1,4,1,2,2,3,7,5
ASV_1094,23,8,6,10,1,5,2,1,0,8,12,11,16,12,4,2,13,5,5,4,5,4,1,0,0,4,8,2,8,2,1,2,1,1,4,2,5,5,0,0,1,2,0,0,4,5,5,5
ASV_1404,2,2,0,4,1,2,2,4,1,1,4,1,5,2,7,2,0,2,5,5,5,9,4,3,3,2,3,26,17,13,4,3,5,6,1,7,11,8,1,6,1,1,5,2,12,3,11,1
ASV_1029,32,5,6,13,0,2,4,2,1,12,26,27,24,16,0,2,6,6,1,1,0,0,0,0,0,2,8,2,4,1,2,1,0,0,0,2,1,1,0,0,0,0,2,0,4,1,3,5
ASV_2104,4,3,6,7,3,8,5,0,5,18,2,4,2,0,9,14,4,7,6,3,1,2,3,6,1,4,8,8,11,5,0,2,0,5,2,1,6,4,1,0,5,5,8,15,8,3,0,0
ASV_1017,5,9,4,3,1,9,14,3,2,6,0,2,2,4,6,8,8,2,3,0,0,0,5,19,6,3,4,0,1,0,5,1,2,8,2,3,4,3,7,0,1,10,21,10,13,1,2,2
ASV_1115,6,11,8,15,4,10,12,1,0,10,5,3,6,7,14,16,14,21,2,0,1,2,5,3,2,3,3,7,8,8,0,1,0,2,3,0,0,0,1,2,1,0,0,4,2,0,1,0
ASV_1006,2,5,1,1,1,8,7,1,1,3,2,0,3,4,0,3,6,3,9,1,0,3,8,12,2,4,5,4,0,1,10,0,1,14,10,2,11,3,7,4,10,8,10,9,10,6,5,3
ASV_1043,1,1,7,0,7,8,8,3,2,4,1,1,2,0,3,5,3,0,7,4,5,3,4,9,1,0,3,8,6,4,1,4,4,6,3,3,6,3,7,4,3,3,17,19,19,5,4,2
ASV_1226,0,17,10,9,6,11,13,1,8,12,2,3,7,2,2,10,9,24,4,2,0,1,5,1,2,3,4,1,5,7,2,1,1,3,4,3,0,2,0,1,8,3,6,5,2,0,0,0
ASV_1122,4,10,2,21,2,16,18,0,0,17,2,8,2,4,2,31,12,12,1,0,1,1,4,0,1,2,3,7,6,7,2,2,1,1,5,2,0,0,0,3,2,1,3,1,0,0,0,3
ASV_1252,3,1,22,8,24,1,1,24,16,1,1,0,3,3,6,3,4,4,3,1,3,0,3,4,2,5,18,7,3,3,5,0,4,2,5,2,3,9,4,1,1,2,1,0,1,2,0,2
ASV_1084,21,4,6,11,0,11,4,4,0,2,25,16,16,16,6,8,6,8,0,0,0,0,1,0,0,0,10,1,3,8,2,1,1,1,2,5,1,3,0,0,2,1,0,3,4,1,3,4
ASV_1529,14,6,3,3,3,8,13,2,2,7,16,32,15,15,2,5,7,4,2,0,0,4,0,0,0,8,2,1,8,2,3,6,0,0,5,8,1,1,0,0,0,4,4,1,1,0,2,1
ASV_1425,1,10,2,14,3,24,19,0,0,8,4,8,4,2,2,27,12,32,4,0,0,1,2,1,0,4,4,8,5,7,1,0,1,0,5,0,0,0,0,0,1,1,0,1,0,0,3,0
ASV_1146,5,0,8,0,18,0,1,43,29,3,3,0,1,0,1,7,1,0,0,0,0,1,1,0,8,0,5,10,4,12,1,0,0,12,6,4,5,2,4,5,3,2,9,3,0,0,0,3
ASV_1058,24,8,2,6,0,5,10,6,0,13,30,13,15,30,3,1,9,5,1,5,0,1,1,1,1,1,3,2,3,1,0,2,1,0,3,1,1,2,0,0,0,1,2,3,1,1,1,1
ASV_1083,13,7,7,3,1,7,4,5,0,17,17,19,9,13,7,4,14,7,2,1,0,0,0,0,0,1,7,3,5,4,2,3,1,0,1,5,4,5,0,2,1,0,3,2,2,4,4,4
ASV_1243,1,7,5,7,0,6,1,4,2,10,4,19,6,16,14,5,6,10,7,2,1,1,2,3,9,4,8,0,4,3,2,4,2,3,0,10,2,2,2,1,0,1,0,4,3,1,11,4
ASV_1387,13,11,7,10,5,16,6,1,0,10,6,22,12,8,1,9,18,8,1,0,3,0,0,1,0,4,5,7,10,7,3,1,2,1,2,1,0,0,0,0,1,0,1,0,1,2,3,0
ASV_1688,1,3,10,6,3,0,2,12,7,0,1,4,1,4,1,1,1,0,4,13,2,8,1,4,4,3,6,9,16,13,2,5,13,7,2,7,2,7,0,2,6,2,10,6,2,0,1,4
ASV_1112,3,4,3,0,7,7,6,3,0,2,0,0,1,0,10,2,0,0,15,0,2,1,6,14,3,5,5,3,2,0,5,0,3,2,5,8,8,6,13,6,1,6,11,15,18,0,2,5
ASV_2465,14,3,1,0,7,2,5,3,4,2,9,3,8,6,9,1,6,2,3,6,3,2,10,8,4,11,8,5,2,4,1,1,2,3,3,5,4,6,11,2,3,9,5,1,7,0,4,0
ASV_1391,3,1,1,1,5,4,4,1,4,6,3,0,0,1,1,4,1,2,6,2,2,6,3,3,1,3,2,4,3,4,2,5,3,34,1,1,13,30,5,3,3,1,9,12,9,2,2,2
ASV_1008,2,4,6,31,2,18,7,1,0,6,1,8,7,7,5,17,9,18,7,3,2,3,9,3,0,4,0,2,2,3,3,0,1,5,0,1,0,0,0,2,6,0,1,3,7,0,0,2
ASV_1141,1,8,1,13,3,6,9,0,1,8,3,13,4,6,7,9,10,19,3,2,2,1,0,1,4,1,7,10,20,16,0,0,0,1,3,3,2,0,0,0,1,0,2,4,2,2,7,3
ASV_1194,4,6,2,15,1,15,17,1,0,8,3,4,13,4,4,21,23,48,2,1,0,1,2,0,0,1,4,3,4,2,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,2
ASV_1060,0,0,14,7,5,0,0,0,11,6,0,2,0,3,0,0,2,5,2,0,0,0,6,4,57,50,8,0,0,1,0,2,3,3,0,0,0,0,1,0,0,0,11,0,0,4,7,3
ASV_1296,0,0,1,0,5,0,0,0,3,1,0,1,0,1,4,4,1,0,3,5,17,8,2,7,3,6,4,8,3,9,3,3,15,5,6,9,7,0,8,6,0,3,2,5,2,6,4,37
ASV_998,5,7,7,7,0,9,10,1,7,6,1,1,0,0,0,7,3,2,14,1,0,3,5,12,5,1,2,1,0,1,1,1,1,6,0,1,11,6,4,2,4,11,6,20,17,3,3,2
ASV_1041,10,2,0,0,1,10,4,0,2,3,2,3,3,0,3,8,2,0,9,2,1,10,6,11,1,1,3,7,2,3,3,5,1,3,8,9,8,4,2,7,7,14,8,4,6,4,12,3
ASV_1034,1,0,0,2,2,0,0,0,0,1,3,2,4,10,8,4,0,4,10,13,12,14,2,5,3,0,1,5,3,9,5,17,5,2,2,2,8,4,4,5,6,4,0,0,1,10,14,10
ASV_1012,8,21,5,14,2,7,3,1,0,4,5,6,5,6,6,8,4,15,5,0,2,5,7,4,1,9,1,11,7,12,2,1,2,0,2,3,2,0,0,4,0,5,3,2,4,1,0,2
ASV_1075,1,2,0,0,3,2,3,5,2,1,4,1,0,2,0,4,3,4,5,3,1,6,6,9,0,5,2,2,3,1,6,7,5,21,9,4,6,6,10,12,9,4,3,10,6,7,6,6
ASV_1108,0,16,7,19,3,10,13,0,0,13,4,4,5,0,3,19,22,26,2,0,3,4,5,7,0,0,0,3,0,4,5,0,0,0,0,1,0,0,0,0,7,1,1,5,3,0,1,1
ASV_1761,0,9,6,4,1,6,2,2,1,9,4,3,1,3,2,4,3,5,3,11,8,4,7,9,0,0,3,15,31,13,0,3,2,2,1,4,4,2,1,3,1,3,5,2,2,9,0,3
ASV_1147,0,2,0,3,11,1,1,7,7,0,6,3,0,2,1,4,9,1,6,1,0,3,9,10,3,4,1,1,2,0,11,1,1,9,21,10,9,6,4,11,7,5,0,4,2,10,5,2
ASV_1168,5,1,4,3,17,0,0,62,39,4,0,1,0,0,0,0,1,0,1,0,1,2,0,0,8,2,12,0,1,1,1,0,0,6,4,4,3,3,4,8,2,8,4,1,1,1,0,0
ASV_1274,1,0,0,2,1,2,0,0,1,0,2,2,4,2,2,2,0,0,6,12,14,8,4,3,6,6,6,1,3,7,4,4,1,21,5,5,8,4,2,8,1,1,0,3,5,5,7,34
ASV_1138,8,9,1,9,9,7,9,5,4,8,4,3,2,0,3,7,2,3,3,6,0,3,4,1,5,6,19,1,2,4,0,5,2,3,2,0,1,0,1,4,6,3,14,5,12,2,2,6
ASV_2618,6,10,10,17,4,8,3,1,1,3,9,7,7,3,1,8,5,5,5,3,1,2,3,2,7,2,4,7,6,7,5,6,2,1,0,7,2,4,1,2,1,2,7,2,11,2,0,3
ASV_983,7,12,3,1,3,9,7,4,3,4,3,6,2,3,8,4,3,3,12,1,1,2,11,8,3,4,1,4,1,1,0,2,6,7,1,1,1,0,1,4,4,8,13,13,15,0,1,3
ASV_1065,3,4,8,2,1,5,8,2,4,8,2,2,1,3,0,9,5,3,10,0,2,7,5,11,2,5,3,2,1,2,1,6,3,1,2,1,4,2,6,5,2,7,14,11,22,3,2,2
ASV_1009,4,9,5,2,1,10,10,0,3,5,1,1,0,0,0,3,5,6,6,0,1,0,13,5,5,2,2,0,0,0,4,0,1,8,3,2,3,6,5,12,8,2,17,22,15,4,2,1
ASV_1125,11,12,2,16,0,4,5,3,0,10,6,12,11,10,5,11,23,8,3,0,0,2,0,1,0,2,13,12,8,2,0,2,1,1,3,0,1,1,1,0,3,0,2,2,1,2,0,1
ASV_1264,4,0,1,0,5,4,1,3,7,2,0,2,6,0,4,1,2,1,4,5,10,9,4,5,1,6,6,20,23,19,0,4,4,3,3,5,5,2,1,1,5,4,6,3,8,2,0,2
ASV_1139,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,7,0,0,2,13,33,23,4,4,4,2,1,1,0,6,0,9,16,14,4,0,0,8,4,8,0,0,0,9,0,23,3,7
ASV_1121,18,4,7,3,3,6,8,3,3,16,11,17,11,13,4,3,6,8,0,5,0,0,3,2,1,2,4,0,6,3,2,4,1,0,5,8,6,3,0,1,1,2,2,1,3,0,1,2
ASV_1513,5,3,7,1,7,5,7,2,9,0,2,2,0,2,1,3,8,1,5,5,6,2,4,7,3,0,6,2,6,3,4,4,1,7,6,0,5,14,9,6,5,6,7,10,6,2,2,3
ASV_1291,26,11,7,3,0,13,4,2,2,11,12,21,10,13,3,4,10,9,2,1,0,0,0,0,0,1,0,6,12,6,0,2,3,0,2,1,3,3,0,0,0,1,1,1,2,0,1,2
ASV_1107,15,3,1,0,3,12,6,1,2,11,12,23,26,22,5,4,6,5,3,0,0,0,0,0,1,4,12,2,1,1,3,2,0,0,4,5,3,0,1,0,2,0,2,1,1,0,3,3
ASV_1055,11,3,3,6,3,6,6,1,0,8,9,6,13,8,4,1,9,6,5,1,1,4,5,3,5,5,21,0,0,6,7,6,4,1,0,3,6,1,1,1,1,4,3,2,2,1,2,7
ASV_1459,1,8,3,18,4,6,6,0,3,5,3,3,5,6,9,21,13,14,3,4,0,0,9,2,0,4,3,4,6,7,2,0,0,1,1,0,1,2,3,5,2,3,5,4,6,3,0,3
ASV_1289,3,14,5,18,2,18,10,1,1,15,7,12,6,4,5,27,13,17,0,0,2,3,0,1,2,4,2,4,4,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1
ASV_1101,0,2,1,3,4,3,1,5,0,4,2,3,3,4,6,2,3,6,3,9,4,8,12,3,7,2,5,9,16,6,1,6,4,3,4,13,2,7,6,3,2,0,4,6,0,4,4,6
ASV_1157,5,6,4,8,6,4,14,2,2,5,4,0,4,3,3,3,4,1,8,1,1,4,10,10,6,9,2,0,0,4,2,0,3,1,1,4,1,2,5,3,10,11,10,7,11,6,0,1
ASV_2447,23,6,2,4,3,11,6,0,0,5,28,3,10,11,7,4,11,5,0,2,0,0,1,1,1,4,4,5,6,1,0,3,0,3,9,2,9,1,1,0,0,0,3,0,3,2,2,8
ASV_1039,1,2,2,3,0,1,5,0,4,0,1,0,1,0,0,1,6,1,14,0,0,4,13,2,1,1,0,0,2,1,2,4,2,23,5,1,14,14,19,0,3,6,15,19,14,0,1,2
ASV_1033,12,13,8,9,4,3,10,2,3,6,9,16,8,7,7,9,8,25,0,2,1,2,1,2,1,4,7,7,5,7,1,1,0,1,0,1,1,0,0,2,1,1,0,0,0,1,2,0
ASV_1183,0,16,5,18,2,2,16,0,0,9,2,6,3,1,0,22,16,50,4,0,0,1,2,0,0,0,0,11,5,8,1,0,0,1,0,0,0,0,0,1,4,0,1,0,1,0,2,0
ASV_1044,11,5,4,17,0,8,5,5,2,4,13,14,19,14,11,2,7,11,1,1,0,0,2,2,0,0,14,8,1,0,1,2,0,0,0,3,0,0,5,0,1,0,4,1,2,2,5,2
ASV_1293,0,3,2,0,5,0,6,2,1,4,0,1,8,5,2,3,1,2,3,2,9,3,6,4,2,8,10,20,13,15,4,1,4,4,3,10,2,3,0,3,1,1,1,5,10,8,4,5
ASV_1018,22,10,2,10,1,12,4,1,1,6,19,7,11,10,4,2,5,7,2,1,1,0,2,1,1,1,8,5,3,1,1,5,0,1,11,4,5,3,1,0,1,1,1,0,2,7,3,3
ASV_1237,20,8,2,7,8,6,3,4,0,3,13,15,10,19,3,5,12,8,4,0,0,0,1,2,1,3,7,4,1,3,0,2,1,0,11,0,1,2,0,0,1,0,2,4,2,2,6,3
